trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
284,False,"{'a': 0.5, 'e': 0.17993661791691867}",30,17,23.648885695749783,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.17885699820941717}",25,7,1.4560763346042405,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.17778385622016066}",20,8,19.059939782829098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.1767171530828397}",20,3,17.875160184458686,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.17565685016434265}",30,0,45.56502996452737,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.5, 'e': 0.1746029090633566}",20,6,22.35463884543224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.17355529160897645}",20,0,-48.10013902234502,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
291,False,"{'a': 0.5, 'e': 0.1725139598593226}",20,10,7.607396101124111,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.17147887610016666}",25,7,16.868392664153628,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.17045000284356565}",30,19,-2.2751261871384236,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.16942730282650426}",25,14,22.54476283827968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.16841073900954523}",25,18,13.703205738343057,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.16740027457548798}",25,11,25.534866893310088,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.16639587292803504}",20,8,23.735543183305055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.16539749769046683}",20,15,-1.3299916615041332,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.16440511270432404}",20,12,-24.606417889695383,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.5, 'e': 0.1634186820280981}",30,18,10.65491306461053,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.1624381699359295}",20,13,11.075229623458512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.1614635409163139}",25,12,0.34919588007628444,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.16049475967081603}",25,11,21.449087661906646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.15953179111279114}",25,20,8.851671060068472,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.15857460036611437}",20,13,-17.978564743740808,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.1576231527639177}",20,0,20.41555986815344,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
307,False,"{'a': 0.5, 'e': 0.1566774138473342}",25,17,-26.560116176895974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
308,False,"{'a': 0.5, 'e': 0.15573734936425018}",25,14,20.240804773134087,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
